candidate,office,district,party,county,precinct,early_voting,election_day,votes
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE17,14,21,35
Jeremy Why,State Representative,56,,Wayne,WAYNE17,3,3,6
,Ballots Cast,,,Wayne,WAYNE18,,,251
,Straight Party,,R,Wayne,WAYNE18,39,48,87
,Straight Party,,D,Wayne,WAYNE18,49,39,88
,Straight Party,,L,Wayne,WAYNE18,2,0,2
Mike Braun,U.S. Senate,,,Wayne,WAYNE18,49,56,105
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE18,75,55,130
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE18,5,7,12
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE18,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE18,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE18,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE18,53,58,111
Jim Harper,Secretary of State,,,Wayne,WAYNE18,71,57,128
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE18,5,4,9
George William Wolfe,Secretary of State,,W,Wayne,WAYNE18,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE18,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE18,52,58,110
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE18,73,58,131
John Schick,Auditor of State,,,Wayne,WAYNE18,4,3,7
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE18,53,59,112
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE18,75,61,136
Greg Pence,U.S. House,6,,Wayne,WAYNE18,51,56,107
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE18,71,57,128
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE18,8,6,14
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE18,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE18,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE18,52,59,111
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE18,75,59,134
Bradford J Barrett,State Representative,56,,Wayne,WAYNE18,50,58,108
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE18,72,57,129
Jeremy Why,State Representative,56,,Wayne,WAYNE18,5,4,9
,Ballots Cast,,,Wayne,WAYNE19,,,198
,Straight Party,,R,Wayne,WAYNE19,16,14,30
,Straight Party,,D,Wayne,WAYNE19,51,33,84
,Straight Party,,L,Wayne,WAYNE19,0,2,2
Mike Braun,U.S. Senate,,,Wayne,WAYNE19,26,21,47
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE19,87,51,138
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE19,3,8,11
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE19,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE19,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE19,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE19,30,27,57
Jim Harper,Secretary of State,,,Wayne,WAYNE19,83,51,134
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE19,2,3,5
George William Wolfe,Secretary of State,,W,Wayne,WAYNE19,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE19,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE19,29,26,55
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE19,83,51,134
John Schick,Auditor of State,,,Wayne,WAYNE19,2,3,5
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE19,29,25,54
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE19,85,52,137
Greg Pence,U.S. House,6,,Wayne,WAYNE19,27,22,49
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE19,86,56,142
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE19,2,3,5
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE19,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE19,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE19,32,27,59
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE19,82,53,135
Bradford J Barrett,State Representative,56,,Wayne,WAYNE19,31,27,58
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE19,82,52,134
Jeremy Why,State Representative,56,,Wayne,WAYNE19,3,1,4
,Ballots Cast,,,Wayne,WAYNE20,,,322
,Straight Party,,R,Wayne,WAYNE20,66,52,118
,Straight Party,,D,Wayne,WAYNE20,51,16,67
,Straight Party,,L,Wayne,WAYNE20,0,0,0
Mike Braun,U.S. Senate,,,Wayne,WAYNE20,83,84,167
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE20,89,44,133
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE20,11,5,16
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE20,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE20,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE20,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE20,95,89,184
Jim Harper,Secretary of State,,,Wayne,WAYNE20,82,40,122
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE20,7,4,11
George William Wolfe,Secretary of State,,W,Wayne,WAYNE20,0,1,1
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE20,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE20,92,87,179
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE20,84,44,128
John Schick,Auditor of State,,,Wayne,WAYNE20,7,2,9
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE20,97,88,185
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE20,86,44,130
Greg Pence,U.S. House,6,,Wayne,WAYNE20,93,86,179
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE20,86,48,134
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE20,3,2,5
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE20,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE20,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE20,104,93,197
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE20,78,42,120
Bradford J Barrett,State Representative,56,,Wayne,WAYNE20,106,92,198
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE20,74,35,109
Jeremy Why,State Representative,56,,Wayne,WAYNE20,3,9,12
,Ballots Cast,,,Wayne,WAYNE21,,,328
,Straight Party,,R,Wayne,WAYNE21,74,43,117
,Straight Party,,D,Wayne,WAYNE21,29,35,64
,Straight Party,,L,Wayne,WAYNE21,1,3,4
Mike Braun,U.S. Senate,,,Wayne,WAYNE21,121,63,184
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE21,64,53,117
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE21,10,11,21
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE21,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE21,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE21,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE21,130,69,199
Jim Harper,Secretary of State,,,Wayne,WAYNE21,57,50,107
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE21,6,5,11
George William Wolfe,Secretary of State,,W,Wayne,WAYNE21,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE21,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE21,127,69,196
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE21,59,53,112
John Schick,Auditor of State,,,Wayne,WAYNE21,6,5,11
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE21,133,74,207
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE21,60,51,111
Greg Pence,U.S. House,6,,Wayne,WAYNE21,124,67,191
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE21,61,52,113
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE21,10,9,19
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE21,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE21,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE21,138,74,212
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE21,58,53,111
Bradford J Barrett,State Representative,56,,Wayne,WAYNE21,135,72,207
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE21,53,48,101
Jeremy Why,State Representative,56,,Wayne,WAYNE21,8,9,17
,Ballots Cast,,,Wayne,WAYNE22,,,337
,Straight Party,,R,Wayne,WAYNE22,45,49,94
,Straight Party,,D,Wayne,WAYNE22,48,45,93
,Straight Party,,L,Wayne,WAYNE22,2,3,5
Mike Braun,U.S. Senate,,,Wayne,WAYNE22,67,71,138
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE22,87,83,170
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE22,13,8,21
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE22,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE22,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE22,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE22,76,75,151
Jim Harper,Secretary of State,,,Wayne,WAYNE22,82,82,164
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE22,9,5,14
George William Wolfe,Secretary of State,,W,Wayne,WAYNE22,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE22,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE22,70,72,142
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE22,87,79,166
John Schick,Auditor of State,,,Wayne,WAYNE22,9,10,19
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE22,75,77,152
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE22,89,85,174
Greg Pence,U.S. House,6,,Wayne,WAYNE22,72,71,143
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE22,86,81,167
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE22,9,10,19
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE22,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE22,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE22,81,84,165
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE22,88,76,164
Bradford J Barrett,State Representative,56,,Wayne,WAYNE22,77,83,160
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE22,82,73,155
Jeremy Why,State Representative,56,,Wayne,WAYNE22,8,7,15
,Ballots Cast,,,Wayne,WAYNE23,,,407
,Straight Party,,R,Wayne,WAYNE23,100,63,163
,Straight Party,,D,Wayne,WAYNE23,57,35,92
,Straight Party,,L,Wayne,WAYNE23,1,1,2
Mike Braun,U.S. Senate,,,Wayne,WAYNE23,130,77,207
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE23,110,57,167
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE23,11,10,21
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE23,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE23,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE23,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE23,153,83,236
Jim Harper,Secretary of State,,,Wayne,WAYNE23,99,56,155
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE23,1,6,7
George William Wolfe,Secretary of State,,W,Wayne,WAYNE23,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE23,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE23,147,82,229
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE23,101,57,158
John Schick,Auditor of State,,,Wayne,WAYNE23,3,4,7
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE23,155,84,239
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE23,96,58,154
Greg Pence,U.S. House,6,,Wayne,WAYNE23,134,82,216
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE23,113,54,167
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE23,5,7,12
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE23,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE23,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE23,147,84,231
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE23,106,58,164
Bradford J Barrett,State Representative,56,,Wayne,WAYNE23,159,90,249
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE23,91,52,143
Jeremy Why,State Representative,56,,Wayne,WAYNE23,3,3,6
,Ballots Cast,,,Wayne,WAYNE24,,,388
,Straight Party,,R,Wayne,WAYNE24,82,50,132
,Straight Party,,D,Wayne,WAYNE24,25,35,60
,Straight Party,,L,Wayne,WAYNE24,1,0,1
Mike Braun,U.S. Senate,,,Wayne,WAYNE24,130,73,203
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE24,80,69,149
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE24,16,13,29
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE24,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE24,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE24,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE24,153,82,235
Jim Harper,Secretary of State,,,Wayne,WAYNE24,60,67,127
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE24,8,6,14
George William Wolfe,Secretary of State,,W,Wayne,WAYNE24,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE24,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE24,155,86,241
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE24,59,62,121
John Schick,Auditor of State,,,Wayne,WAYNE24,8,2,10
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE24,163,91,254
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE24,57,62,119
Greg Pence,U.S. House,6,,Wayne,WAYNE24,141,78,219
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE24,72,70,142
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE24,10,6,16
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE24,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE24,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE24,157,85,242
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE24,60,65,125
Bradford J Barrett,State Representative,56,,Wayne,WAYNE24,168,94,262
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE24,53,53,106
Jeremy Why,State Representative,56,,Wayne,WAYNE24,2,9,11
,Ballots Cast,,,Wayne,WAYNE25,,,284
,Straight Party,,R,Wayne,WAYNE25,58,32,90
,Straight Party,,D,Wayne,WAYNE25,43,27,70
,Straight Party,,L,Wayne,WAYNE25,1,3,4
Mike Braun,U.S. Senate,,,Wayne,WAYNE25,87,51,138
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE25,78,48,126
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE25,9,5,14
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE25,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE25,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE25,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE25,91,54,145
Jim Harper,Secretary of State,,,Wayne,WAYNE25,76,42,118
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE25,8,8,16
George William Wolfe,Secretary of State,,W,Wayne,WAYNE25,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE25,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE25,94,50,144
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE25,77,46,123
John Schick,Auditor of State,,,Wayne,WAYNE25,5,6,11
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE25,99,58,157
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE25,75,43,118
Greg Pence,U.S. House,6,,Wayne,WAYNE25,92,53,145
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE25,77,43,120
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE25,6,8,14
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE25,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE25,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE25,95,57,152
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE25,77,46,123
Bradford J Barrett,State Representative,56,,Wayne,WAYNE25,104,60,164
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE25,65,41,106
Jeremy Why,State Representative,56,,Wayne,WAYNE25,5,4,9
,Ballots Cast,,,Wayne,WAYNE26,,,223
,Straight Party,,R,Wayne,WAYNE26,22,47,69
,Straight Party,,D,Wayne,WAYNE26,40,41,81
,Straight Party,,L,Wayne,WAYNE26,1,1,2
Mike Braun,U.S. Senate,,,Wayne,WAYNE26,34,55,89
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE26,69,56,125
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE26,4,2,6
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE26,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE26,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE26,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE26,41,57,98
Jim Harper,Secretary of State,,,Wayne,WAYNE26,64,53,117
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE26,3,3,6
George William Wolfe,Secretary of State,,W,Wayne,WAYNE26,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE26,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE26,40,59,99
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE26,65,50,115
John Schick,Auditor of State,,,Wayne,WAYNE26,2,3,5
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE26,41,61,102
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE26,67,54,121
Greg Pence,U.S. House,6,,Wayne,WAYNE26,36,54,90
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE26,68,55,123
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE26,3,4,7
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE26,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE26,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE26,42,63,105
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE26,65,51,116
Bradford J Barrett,State Representative,56,,Wayne,WAYNE26,41,63,104
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE26,66,48,114
Jeremy Why,State Representative,56,,Wayne,WAYNE26,1,3,4
,Ballots Cast,,,Wayne,WAYNE27,,,184
,Straight Party,,R,Wayne,WAYNE27,18,36,54
,Straight Party,,D,Wayne,WAYNE27,38,38,76
,Straight Party,,L,Wayne,WAYNE27,0,1,1
Mike Braun,U.S. Senate,,,Wayne,WAYNE27,26,45,71
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE27,47,55,102
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE27,0,4,4
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE27,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE27,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE27,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE27,27,53,80
Jim Harper,Secretary of State,,,Wayne,WAYNE27,47,49,96
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE27,2,4,6
George William Wolfe,Secretary of State,,W,Wayne,WAYNE27,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE27,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE27,26,49,75
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE27,48,51,99
John Schick,Auditor of State,,,Wayne,WAYNE27,2,5,7
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE27,29,55,84
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE27,47,47,94
Greg Pence,U.S. House,6,,Wayne,WAYNE27,25,49,74
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE27,48,52,100
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE27,3,4,7
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE27,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE27,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE27,29,53,82
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE27,47,51,98
Bradford J Barrett,State Representative,56,,Wayne,WAYNE27,29,54,83
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE27,46,47,93
Jeremy Why,State Representative,56,,Wayne,WAYNE27,1,4,5
,Ballots Cast,,,Wayne,WAYNE28,,,309
,Straight Party,,R,Wayne,WAYNE28,79,50,129
,Straight Party,,D,Wayne,WAYNE28,42,31,73
,Straight Party,,L,Wayne,WAYNE28,1,2,3
Mike Braun,U.S. Senate,,,Wayne,WAYNE28,108,67,175
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE28,68,48,114
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE28,5,9,14
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE28,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE28,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE28,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE28,119,75,194
Jim Harper,Secretary of State,,,Wayne,WAYNE28,54,40,94
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE28,6,7,13
George William Wolfe,Secretary of State,,W,Wayne,WAYNE28,1,0,1
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE28,0,0,
Tera Klutz,Auditor of State,,,Wayne,WAYNE28,117,72,189
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE28,59,42,101
John Schick,Auditor of State,,,Wayne,WAYNE28,4,9,13
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE28,119,82,201
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE28,59,40,99
Greg Pence,U.S. House,6,,Wayne,WAYNE28,115,73,188
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE28,61,44,105
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE28,2,5,7
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE28,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE28,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE28,123,78,201
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE28,56,43,99
Bradford J Barrett,State Representative,56,,Wayne,WAYNE28,121,81,202
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE28,58,36,94
Jeremy Why,State Representative,56,,Wayne,WAYNE28,1,4,5
,Ballots Cast,,,Wayne,WAYNE29,,,429
,Straight Party,,R,Wayne,WAYNE29,91,45,136
,Straight Party,,D,Wayne,WAYNE29,42,35,77
,Straight Party,,L,Wayne,WAYNE29,0,0,0
Mike Braun,U.S. Senate,,,Wayne,WAYNE29,146,84,230
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE29,92,72,164
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE29,7,19,26
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE29,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE29,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE29,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE29,154,89,243
Jim Harper,Secretary of State,,,Wayne,WAYNE29,83,77,160
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE29,10,9,19
George William Wolfe,Secretary of State,,W,Wayne,WAYNE29,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE29,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE29,156,89,245
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE29,82,71,153
John Schick,Auditor of State,,,Wayne,WAYNE29,8,14,22
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE29,164,102,266
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE29,81,73,154
Greg Pence,U.S. House,6,,Wayne,WAYNE29,146,91,237
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE29,91,77,168
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE29,12,9,21
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE29,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE29,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE29,161,102,263
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE29,85,73,158
Bradford J Barrett,State Representative,56,,Wayne,WAYNE29,160,101,261
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE29,83,66,149
Jeremy Why,State Representative,56,,Wayne,WAYNE29,6,9,15
,Ballots Cast,,,Wayne,WAYNE30,,,345
,Straight Party,,R,Wayne,WAYNE30,54,58,112
,Straight Party,,D,Wayne,WAYNE30,61,33,94
,Straight Party,,L,Wayne,WAYNE30,1,0,1
Mike Braun,U.S. Senate,,,Wayne,WAYNE30,93,68,161
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE30,98,62,160
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE30,10,3,13
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE30,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE30,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE30,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE30,101,75,176
Jim Harper,Secretary of State,,,Wayne,WAYNE30,99,57,156
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE30,2,5,7
George William Wolfe,Secretary of State,,W,Wayne,WAYNE30,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE30,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE30,98,78,176
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE30,101,56,157
John Schick,Auditor of State,,,Wayne,WAYNE30,3,4,7
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE30,104,79,183
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE30,96,57,153
Greg Pence,U.S. House,6,,Wayne,WAYNE30,94,72,166
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE30,101,64,165
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE30,7,2,9
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE30,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE30,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE30,105,79,184
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE30,96,58,154
Bradford J Barrett,State Representative,56,,Wayne,WAYNE30,110,78,188
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE30,89,53,142
Jeremy Why,State Representative,56,,Wayne,WAYNE30,3,6,9
,Ballots Cast,,,Wayne,WAYNE31,,,492
,Straight Party,,R,Wayne,WAYNE31,85,56,141
,Straight Party,,D,Wayne,WAYNE31,60,35,95
